Wind1VelX_Mean,PtfmSurge_Mean,PtfmHeave_Mean,PtfmPitch_Mean,TwrBsMxt_Mean,TwrBsMyt_Mean,FAIRTEN1_Mean,FAIRTEN2_Mean,FAIRTEN3_Mean,ANCHTEN1_Mean,ANCHTEN2_Mean,ANCHTEN3_Mean,GenPwr_Mean,RotSpeed_Mean,Wind1VelX_Std,PtfmSurge_Std,PtfmHeave_Std,PtfmPitch_Std,TwrBsMxt_Std,TwrBsMyt_Std,FAIRTEN1_Std,FAIRTEN2_Std,FAIRTEN3_Std,ANCHTEN1_Std,ANCHTEN2_Std,ANCHTEN3_Std,GenPwr_Std,RotSpeed_Std,Target
11.52602231,9.239585088,-0.03070154872,2.84127957,5948.036187,64924.70725,928907.4951,1537898.259,914762.0975,732274.7785,1338098.86,718402.7322,4167.08731,11.83329947,2.27258092,1.077420885,0.06031448271,0.8084562139,2817.25854,15764.98105,14328.70868,89240.66003,30072.59975,14087.48091,88764.91493,29991.06353,1058.928188,1.065279686,1
9.974421884,7.986400752,-0.0254977275,2.432536594,4672.745689,55315.65595,947975.6413,1459917.244,941493.9017,751172.9648,1260443.424,744939.1089,3049.64461,10.48544695,2.125750973,2.311661641,0.07288320206,0.8244062394,3274.171407,16893.64262,37222.42204,175068.7348,45133.39149,37056.99373,174865.1193,45028.45617,1243.346466,1.167696425,1
11.53361873,9.724145383,-0.03534880335,3.12130938,6054.480042,71298.65281,913130.0447,1575135.931,915678.6072,716545.2469,1375153.756,719403.339,4643.902808,12.04309584,1.829538101,1.33314248,0.05770468502,1.054026926,2686.317034,15767.41438,29152.8349,111040.9432,29258.59966,29068.74301,110804.2323,29323.58382,655.3000293,0.6014872278,1
11.22284317,9.255325498,-0.02941482526,2.917391873,5616.645234,66685.16616,926172.5323,1538711.886,916539.4616,729541.0249,1338908.218,720209.6942,4159.495791,11.67592039,1.884551908,1.006211998,0.05580934746,0.5840677289,2465.628597,12166.79571,19976.50188,84037.27289,22493.81921,19798.03149,83562.26948,22378.17999,987.9766753,0.7815197598,1
10.62425668,9.523681961,-0.01647174054,2.340777202,4877.679854,53446.86715,923891.6753,1466382.56,920985.3108,727047.5956,1266814.437,724416.7657,3300.187344,10.81113171,2.515253328,4.580539991,0.06911087266,1.195459317,3475.698741,19735.96519,76308.67493,324837.2358,76203.2153,76612.98179,325585.0253,76496.9155,1449.679462,1.562388655,1
11.75413349,10.81002727,-0.03160250587,3.104055655,5877.967643,70634.92798,902694.2059,1528679.02,893736.8769,706122.9294,1328635.404,697483.6685,4398.100504,11.80475842,1.895026178,3.008615826,0.06957876833,1.068187268,2779.948626,17195.49859,59705.17342,227192.8524,47073.28095,59604.76806,227269.7154,47080.58392,1020.467935,0.917497668,1
11.04920769,11.07228982,-0.0267817412,2.946624085,5342.918235,67476.38079,890005.7983,1522364.571,895512.2547,693290.2062,1322509.378,699075.6746,4291.413879,11.77045973,2.047786399,0.7544513778,0.05193455881,0.5325360615,2346.763404,10882.85046,20443.41037,66176.56024,18380.22334,20161.43171,65334.06466,18132.56854,872.460691,0.6809713042,1
11.54109499,10.44115079,-0.01933521754,2.806972311,5940.017799,63595.5716,908919.9115,1482290.02,896995.7242,712171.434,1282493.957,700622.5573,4196.068201,11.75047108,2.070952722,1.431661386,0.06785981951,0.9308467604,2800.101621,16889.80698,17382.07648,108007.6379,38249.59194,17149.38966,107437.0142,38086.13914,1047.21632,1.102391619,1
10.67558054,10.36229752,-0.02426761845,2.70153505,4876.430483,61511.14451,904397.464,1487802.158,906558.2929,707661.8051,1288169.103,710091.8168,3518.826007,10.92075147,2.350086198,2.728925264,0.07417968148,0.8335187807,3306.933777,19006.42046,44173.63077,202459.5248,47938.54712,43947.80751,202250.0725,47895.99133,1486.895981,1.423557339,1
11.55030644,11.39806817,-0.02606801614,3.002287533,5792.714331,69277.05715,890206.1609,1547885.193,885385.0058,693521.0317,1348008.284,688923.046,4647.34758,12.05101616,1.762436815,0.8007244382,0.0563551298,1.059330551,2492.172102,15805.51612,23317.85618,70423.19213,15789.15124,23069.35935,69592.79137,15510.42282,679.6835902,0.6349976666,1
11.52602231,10.84072982,-0.02372148355,2.836491853,5964.529698,64775.34023,904326.604,1507996.679,888778.3721,707564.0596,1308162.472,692348.4805,4161.012392,11.82490696,2.27258092,1.021325036,0.06108015234,0.8146079371,2795.526457,15962.85331,13245.62308,83972.26173,27415.93358,12931.03747,83370.34088,27193.98504,1070.23814,1.081964455,1
9.974421884,9.436685312,-0.01793109558,2.442229513,4668.168713,55374.53113,922570.8334,1423798.586,916963.3023,725779.0834,1224284.342,720413.0444,3046.279075,10.47923876,2.125750973,2.427126849,0.07280548322,0.8380330036,3702.358671,17167.77842,38374.28028,178675.3553,43058.48432,38254.01746,178502.4929,43076.67984,1238.856986,1.159984215,1
